repository_name,commit_hash,commit_date,commit_author,commit_message,bugs
"mlm","b28abb42","2020-06-12T14:26:12","Victor","объяснения предсказаний с помощью lime",4
"mlm","438b5c4d","2020-06-12T11:53:10","Victor","Поставил lime вместо eli5",3
"mlm","8e6e4f31","2020-06-11T15:19:03","Victor","Скрипт для создния пакетов обновления",4
"mlm","5e0956a6","2020-06-11T10:42:29","Victor","Сортировка весов по убыванию",3
"mlm","b9f4b40c","2020-06-11T09:25:19","Victor","не надо конвертировать массив до операции по смене знака",7
"mlm","4f5f3743","2020-06-11T09:12:37","Peggy","Добавлено больше логирования и фикс до частичной работоспособности",6
"mlm","24a11c40","2020-06-10T15:34:22","Victor","Отладка, чтоб оно хотябы запускалось",4
"mlm","3287c74a","2020-06-10T15:34:04","Victor","Добавил скрипт для запуска контейнера",4
"mlm","c78d5187","2020-06-10T15:22:21","Victor","label не нужен",2
"mlm","bcb47e60","2020-06-10T14:54:14","Victor","Установка всех зависимостей теперь в докер файле",5
"mlm","edccc275","2020-06-10T14:32:09","Victor","Использование sha256",2
"mlm","7dada598","2020-06-10T13:45:37","Peggy","Обновление схем",1
"mlm","7358f296","2020-06-10T13:05:18","Victor","Не сохранять неизвестные поля, на них нельзя обучаться и поэтому нет смысла их хранить",11
"mlm","d00a4637","2020-06-10T12:51:30","Victor","hdf5 не умеет хранить матрицы различных типов, сделал группу с хешами, а в...",10
"mlm","1536a0ff","2020-06-10T11:15:54","Victor","Скрипт для создания датасета из csv файла",5
"mlm","203d9ca2","2020-06-10T10:17:03","Victor","тип и всякие статичные данные пусть лежат в датасете",7
"mlm","eda23d40","2020-06-10T10:12:46","Victor","eli5 предсказание для бинарных классификаторов",4
"mlm","90a3bcc7","2020-06-10T08:34:15","Victor","Функции проверки меток",2
"mlm","a91623e9","2020-06-09T17:37:52","Victor","Апи для моделей и датасетов",4
"mlm","dbb5fc69","2020-06-05T17:15:17","Victor","Пересмотрели архитектуру, теперь все запросы через http",6
"mlm","e042bf92","2020-06-04T16:17:51","Victor","Перешли с npz на hdf5",4
"mlm","ec6a6f00","2020-06-03T12:02:24","Victor","добавил aiohttp",2
"mlm","f131459d","2020-06-03T11:54:37","Victor","Диаграмы процессов и архитектуры",3
"mlm","438425bc","2020-06-02T12:43:19","Victor","Оптимизировал докер файл",2
"mlm","62cefb70","2020-06-02T12:27:05","Victor","Models loading in memory",3
"mlm","9a8de3a1","2020-03-22T13:41:08","Victor","Multiple cursors",3
"mlm","57d85e10","2020-03-22T13:13:33","Victor","Check Lables",3
"mlm","e6152145","2020-03-22T13:00:09","Victor","send results to mysql",5
"mlm","3dee0db3","2020-03-21T12:56:03","Victor","no feature names in queue calls",8
"mlm","edb9c5ee","2020-03-21T10:41:55","Victor","Fixed continous error",4
"mlm","9dfb4bec","2020-03-09T16:16:02","Victor","Default rabbitMQ NETWORK ip",6
"mlm","92f864da","2020-03-09T16:15:14","Victor","Docker COPY cannot in directories",7
"mlm","a61b1c09","2020-03-09T16:14:32","Victor","Removed default freeze package",6
"mlm","1f1144f1","2020-03-09T16:13:45","Victor","aio_pika connection_closed loop",4
"mlm","db68ce25","2020-03-09T14:33:18","Victor","global variable assignment without global",7
"mlm","af7c2776","2020-03-08T17:46:38","Victor","Saving unknown labels on emergency saving",9
"mlm","bb54e4e6","2020-03-08T17:23:12","Victor","Small Fixes in main.py to make it work",12
